chain,scenario,root_recipe_id,selected_suppliers,deployed_components,building_count,internal_flows,market_inputs,surplus_outputs,market_sale_revenue,market_input_bill,grid_power_bill,labour_bill,maintenance_bill,inbound_freight,outbound_freight,warehousing_bill,working_inventory_warehouse_reserve,operating_profit,pre_tax_profit_after_freight_and_warehouse_reserve,taxes,dividends,net_cash_after_tax_dividends,cluster_target_profit,cluster_target_min,cluster_target_max,in_cluster_target_after_friction_reserve,held_surplus_market_value,assumed_transport,analysis_error
Steel + pig iron; market coal and iron ore,settled auto-sell,r_003,iron_ingots: r_005,r_003 ×1 Steelmaking; r_005 ×1 Pig Iron Smelting,2,iron_ingots 40,coal 40; iron_ore 40,iron_ingots 30; steel 48,117.72,41.454,28.0,18.758,2.0,1.2,1.17,0.0,2.38,25.138,22.758,5.028,4.022,16.088,15.0,10.0,25.0,True,117.72,rail_1_turn,
Steel + pig iron; market coal and iron ore,hold surplus for one turn,r_003,iron_ingots: r_005,r_003 ×1 Steelmaking; r_005 ×1 Pig Iron Smelting,2,iron_ingots 40,coal 40; iron_ore 40,iron_ingots 30; steel 48,0.0,41.454,28.0,18.758,2.0,1.2,0.0,0.78,2.38,-92.192,-94.572,0.0,0.0,-92.192,15.0,10.0,25.0,,117.72,rail_1_turn,
Steel + pig iron + coal mine,settled auto-sell,r_003,iron_ingots: r_005; coal: r_001,r_001 ×1 Coal Mining; r_003 ×1 Steelmaking; r_005 ×1 Pig Iron Smelting,3,coal 40; iron_ingots 40,iron_ore 40,coal 20; iron_ingots 30; steel 48,125.72,24.654,31.0,28.758,4.0,0.6,1.47,0.0,2.98,35.238,32.258,7.048,5.638,22.552,,,,,125.72,rail_1_turn,
Steel + pig iron + coal mine,hold surplus for one turn,r_003,iron_ingots: r_005; coal: r_001,r_001 ×1 Coal Mining; r_003 ×1 Steelmaking; r_005 ×1 Pig Iron Smelting,3,coal 40; iron_ingots 40,iron_ore 40,coal 20; iron_ingots 30; steel 48,0.0,24.654,31.0,28.758,4.0,0.6,0.0,0.98,2.98,-89.992,-92.972,0.0,0.0,-89.992,,,,,125.72,rail_1_turn,
Base motors + steel furnace + copper wiring factory,settled auto-sell,r_009,steel: r_003; copper_wiring: r_008,r_003 ×1 Steelmaking; r_008 ×1 Copper Wire Drawing; r_009 ×1 Motor Manufacture,3,copper_wiring 32; steel 30,coal 20; copper_ingots 24; iron_ingots 40,motor 28; steel 18,296.118,109.469,25.0,105.638,15.0,1.26,0.69,0.0,2.54,39.061,36.521,7.812,6.25,24.999,,,,,296.118,rail_1_turn,
Base motors + steel furnace + copper wiring factory,hold surplus for one turn,r_009,steel: r_003; copper_wiring: r_008,r_003 ×1 Steelmaking; r_008 ×1 Copper Wire Drawing; r_009 ×1 Motor Manufacture,3,copper_wiring 32; steel 30,coal 20; copper_ingots 24; iron_ingots 40,motor 28; steel 18,0.0,109.469,25.0,105.638,15.0,1.26,0.0,0.46,2.54,-256.827,-259.367,0.0,0.0,-256.827,,,,,296.118,rail_1_turn,
Aluminium + alumina refinery,settled auto-sell,r_050,alumina: r_040,r_040 ×1 Bayer Process; r_050 ×1 Aluminium (Hall Heroult) Smelting,2,alumina 20,bauxite_ore 20; chem_salts 5; graphite 3; sodium_hydroxide 8,alumina 10; aluminium 20,133.54,64.694,38.0,14.771,2.0,0.66,0.45,0.0,1.78,12.965,11.185,2.593,2.074,8.298,,,,,133.54,pipe_1_turn+rail_1_turn,
Aluminium + alumina refinery,hold surplus for one turn,r_050,alumina: r_040,r_040 ×1 Bayer Process; r_050 ×1 Aluminium (Hall Heroult) Smelting,2,alumina 20,bauxite_ore 20; chem_salts 5; graphite 3; sodium_hydroxide 8,alumina 10; aluminium 20,0.0,64.694,38.0,14.771,2.0,0.66,0.0,0.3,1.78,-120.425,-122.205,0.0,0.0,-120.425,,,,,133.54,pipe_1_turn+rail_1_turn,
Windows + industrial glass + Hall-Heroult aluminium,settled auto-sell,r_056,glass: r_053; aluminium: r_050,r_050 ×1 Aluminium (Hall Heroult) Smelting; r_053 ×1 Industrial Glassmaking; r_056 ×1 Window Manufacturing,3,aluminium 10; glass 28,alumina 20; chem_salts 5; graphite 3; limestone 9; sand 30; sodium_hydroxide 9,aluminium 10; glass 4; windows 17,260.397,108.074,42.0,67.824,9.0,1.275,0.445,0.0,2.64,31.779,29.139,6.356,5.085,20.338,,,,,260.397,pipe_1_turn+rail_1_turn,
Windows + industrial glass + Hall-Heroult aluminium,hold surplus for one turn,r_056,glass: r_053; aluminium: r_050,r_050 ×1 Aluminium (Hall Heroult) Smelting; r_053 ×1 Industrial Glassmaking; r_056 ×1 Window Manufacturing,3,aluminium 10; glass 28,alumina 20; chem_salts 5; graphite 3; limestone 9; sand 30; sodium_hydroxide 9,aluminium 10; glass 4; windows 17,0.0,108.074,42.0,67.824,9.0,1.275,0.0,0.31,2.64,-228.483,-231.123,0.0,0.0,-228.483,,,,,260.397,pipe_1_turn+rail_1_turn,
Windows + high-strength glass + Hall-Heroult aluminium,settled auto-sell,r_056,glass: r_054; aluminium: r_050,r_050 ×1 Aluminium (Hall Heroult) Smelting; r_054 ×1 High Strength Glassmaking; r_056 ×1 Window Manufacturing,3,aluminium 10; glass 28,alumina 24; chem_salts 5; graphite 3; silica 6; sulphur 4,aluminium 10; glass 3; windows 17,258.294,104.272,42.0,64.435,9.0,0.63,0.435,0.0,1.48,37.521,36.041,7.504,6.003,24.014,,,,,258.294,rail_1_turn,
Windows + high-strength glass + Hall-Heroult aluminium,hold surplus for one turn,r_056,glass: r_054; aluminium: r_050,r_050 ×1 Aluminium (Hall Heroult) Smelting; r_054 ×1 High Strength Glassmaking; r_056 ×1 Window Manufacturing,3,aluminium 10; glass 28,alumina 24; chem_salts 5; graphite 3; silica 6; sulphur 4,aluminium 10; glass 3; windows 17,0.0,104.272,42.0,64.435,9.0,0.63,0.0,0.3,1.48,-220.638,-222.118,0.0,0.0,-220.638,,,,,258.294,rail_1_turn,
Windows + industrial glass; market aluminium,settled auto-sell,r_056,glass: r_053,r_053 ×1 Industrial Glassmaking; r_056 ×1 Window Manufacturing,2,glass 28,aluminium 10; limestone 9; sand 30; sodium_hydroxide 9,glass 4; windows 17,203.487,92.594,18.0,60.438,8.0,1.005,0.295,0.0,2.16,23.154,20.994,4.631,3.705,14.819,15.0,10.0,25.0,True,203.487,pipe_1_turn+rail_1_turn,
Windows + industrial glass; market aluminium,hold surplus for one turn,r_056,glass: r_053,r_053 ×1 Industrial Glassmaking; r_056 ×1 Window Manufacturing,2,glass 28,aluminium 10; limestone 9; sand 30; sodium_hydroxide 9,glass 4; windows 17,0.0,92.594,18.0,60.438,8.0,1.005,0.0,0.21,2.16,-180.248,-182.408,0.0,0.0,-180.248,15.0,10.0,25.0,,203.487,pipe_1_turn+rail_1_turn,
Building frames + direct suppliers,settled auto-sell,r_057,steel: r_003; windows: r_056; copper_pipe: r_220; electrical_components: r_126,r_003 ×1 Steelmaking; r_056 ×1 Window Manufacturing; r_057 ×1 Building Frame Manufacture; r_126 ×1 Electrical Components Production; r_220 ×1 Copper Pipe Manufacturing,5,copper_pipe 6; electrical_components 4; steel 18; windows 12,aluminium 10; chem_salts 5; coal 20; copper_ingots 14; copper_wiring 12; glass 28; industrial_acids 1; iron_ingots 40; plastics 5,building_frame 26; copper_pipe 42; electrical_components 8; steel 30; windows 5,710.707,290.472,29.0,240.237,35.0,1.815,2.055,0.0,3.35,112.128,108.778,22.426,17.941,71.762,,,,,710.707,pipe_1_turn+rail_1_turn,
