chain,recipe_id,deployed_components,surplus_outputs,operating_profit_with_surplus_sold,net_cash_with_surplus_sold,net_cash_holding_surplus_one_turn
Steel + pig iron; market coal and iron ore,r_003,r_003 ×1 Steelmaking; r_005 ×1 Pig Iron Smelting,iron_ingots 30; steel 48,25.138,16.088,-92.192
Steel + pig iron + coal mine,r_003,r_001 ×1 Coal Mining; r_003 ×1 Steelmaking; r_005 ×1 Pig Iron Smelting,coal 20; iron_ingots 30; steel 48,35.238,22.552,-89.992
Base motors + steel furnace + copper wiring factory,r_009,r_003 ×1 Steelmaking; r_008 ×1 Copper Wire Drawing; r_009 ×1 Motor Manufacture,motor 28; steel 18,39.061,24.999,-256.827
Aluminium + alumina refinery,r_050,r_040 ×1 Bayer Process; r_050 ×1 Aluminium (Hall Heroult) Smelting,alumina 10; aluminium 20,12.965,8.298,-120.425
Windows + industrial glass + Hall-Heroult aluminium,r_056,r_050 ×1 Aluminium (Hall Heroult) Smelting; r_053 ×1 Industrial Glassmaking; r_056 ×1 Window Manufacturing,aluminium 10; glass 4; windows 17,31.779,20.338,-228.483
Windows + high-strength glass + Hall-Heroult aluminium,r_056,r_050 ×1 Aluminium (Hall Heroult) Smelting; r_054 ×1 High Strength Glassmaking; r_056 ×1 Window Manufacturing,aluminium 10; glass 3; windows 17,37.521,24.014,-220.638
Windows + industrial glass; market aluminium,r_056,r_053 ×1 Industrial Glassmaking; r_056 ×1 Window Manufacturing,glass 4; windows 17,23.154,14.819,-180.248
Building frames + direct suppliers,r_057,r_003 ×1 Steelmaking; r_056 ×1 Window Manufacturing; r_057 ×1 Building Frame Manufacture; r_126 ×1 Electrical Components Production; r_220 ×1 Copper Pipe Manufacturing,building_frame 26; copper_pipe 42; electrical_components 8; steel 30; windows 5,84.145,53.853,-625.617
Construction equipment (ICE) + conventional direct suppliers,r_033,r_003 ×1 Steelmaking; r_009 ×1 Motor Manufacture; r_022 ×1 Fuels Refining; r_024 ×1 Plastics Manufacturing; r_028 ×1 Synthetic Rubber Production; r_033 ×1 Construction Equiment Assembly (ICE),construction_equipment_ice 12; fuels 10; motor 8; plastics 3; rubber 8; steel 6,74.816,47.882,-509.122
Tyres + rubber + sulphur,r_067,r_028 ×1 Synthetic Rubber Production; r_067 ×1 Rubber Vulcanisation; r_179 ×1 Sulphur Mining,sulphur 12; tyres 25,26.909,17.222,-121.075
Plastics + ethylene refinery,r_024,r_023 ×1 Ethylene Refining; r_024 ×1 Plastics Manufacturing,ethylene 3; plastics 12,15.244,9.756,-58.412
