consumer_recipe_id,consumer_recipe,input_good,required_input_qty,supplier_recipe_id,supplier_recipe,supplier_output_qty,buildings_required,within_one_supplier_building
r_003,Steelmaking,iron_ingots,40.0,r_005,Pig Iron Smelting,70,0.571,True
r_003,Steelmaking,coal,20.0,r_001,Coal Mining,60,0.333,True
r_005,Pig Iron Smelting,iron_ore,40.0,r_002,Iron Mining,40,1.0,True
r_005,Pig Iron Smelting,coal,20.0,r_001,Coal Mining,60,0.333,True
r_007,Copper Blistering,copper_ore,36.0,r_006,Copper Mining,36,1.0,True
r_008,Copper Wire Drawing,copper_ingots,24.0,r_007,Copper Blistering,24,1.0,True
r_009,Motor Manufacture,steel,30.0,r_003,Steelmaking,48,0.625,True
r_009,Motor Manufacture,copper_wiring,32.0,r_008,Copper Wire Drawing,32,1.0,True
r_022,Fuels Refining,processed_oil,10.0,r_180,Oil Refining,18,0.556,True
r_023,Ethylene Refining,processed_oil,10.0,r_180,Oil Refining,18,0.556,True
r_024,Plastics Manufacturing,ethylene,10.0,r_023,Ethylene Refining,13,0.769,True
r_026,Copper Pipe Hot Rolling,copper_ingots,13.0,r_007,Copper Blistering,24,0.542,True
r_028,Synthetic Rubber Production,ethylene,10.0,r_023,Ethylene Refining,13,0.769,True
r_030,Electric Concrete Production,limestone,25.0,r_019,Limestone Mining,25,1.0,True
r_030,Electric Concrete Production,pure_water,13.0,r_011,Water Pumping,48,0.271,True
r_030,Electric Concrete Production,silica,13.0,r_035,Silica Washing,13,1.0,True
r_032,Lithium Ion Battery Manufacturing,lithium_carbonate,9.0,r_227,Rudimentary Lithium Refinement,9,1.0,True
r_032,Lithium Ion Battery Manufacturing,electrical_components,3.0,r_126,Electrical Components Production,12,0.25,True
r_032,Lithium Ion Battery Manufacturing,graphite,3.0,r_150,Petroleum Needle Coke Calcination,10,0.3,True
r_032,Lithium Ion Battery Manufacturing,alloy_ingots,3.0,r_132,Alloy Metal Smelting,30,0.1,True
r_033,Construction Equiment Assembly (ICE),steel,12.0,r_003,Steelmaking,48,0.25,True
r_033,Construction Equiment Assembly (ICE),rubber,9.0,r_028,Synthetic Rubber Production,17,0.529,True
r_033,Construction Equiment Assembly (ICE),plastics,9.0,r_024,Plastics Manufacturing,12,0.75,True
r_033,Construction Equiment Assembly (ICE),fuels,12.0,r_022,Fuels Refining,22,0.545,True
r_033,Construction Equiment Assembly (ICE),motor,20.0,r_009,Motor Manufacture,28,0.714,True
r_034,Construction Equipment Assembly (EV),steel,10.0,r_003,Steelmaking,48,0.208,True
r_034,Construction Equipment Assembly (EV),rubber,8.0,r_028,Synthetic Rubber Production,17,0.471,True
r_034,Construction Equipment Assembly (EV),plastics,8.0,r_024,Plastics Manufacturing,12,0.667,True
r_034,Construction Equipment Assembly (EV),lithium_battery,4.0,r_032,Lithium Ion Battery Manufacturing,10,0.4,True
r_034,Construction Equipment Assembly (EV),motor,10.0,r_009,Motor Manufacture,28,0.357,True
r_035,Silica Washing,sand,10.0,r_018,Sand Excavation,45,0.222,True
r_035,Silica Washing,pure_water,10.0,r_011,Water Pumping,48,0.208,True
r_227,Rudimentary Lithium Refinement,lithium_ore,8.0,r_016,Lithium Mining,8,1.0,True
r_227,Rudimentary Lithium Refinement,industrial_acids,3.0,r_114,Hydrochloric Acid Production,45,0.067,True
r_040,Bayer Process,bauxite_ore,20.0,r_015,Bauxite Mining,20,1.0,True
r_041,Rare Earth Reduction,ree_ore,10.0,r_017,Rare Earth Mining,12,0.833,True
r_150,Petroleum Needle Coke Calcination,pet_coke,16.0,r_218,Petroleum Coking,18,0.889,True
r_044,Silicon Smelting,silica,1.0,r_035,Silica Washing,13,0.077,True
r_044,Silicon Smelting,coal,1.0,r_001,Coal Mining,60,0.017,True
r_045,Polysilicon (Siemens) Smelting,metallurgical_silicon,5.0,r_044,Silicon Smelting,20,0.25,True
r_046,Haber Bosch Process,nitrogen,8.0,r_087,Nitrogen Air Separation,50,0.16,True
r_047,Fertilisers Production,ammonia,8.0,r_046,Haber Bosch Process,30,0.267,True
r_047,Fertilisers Production,biomass,4.0,r_213,Aggressive Logging - Biomass,30,0.133,True
r_050,Aluminium (Hall Heroult) Smelting,alumina,20.0,r_040,Bayer Process,30,0.667,True
r_050,Aluminium (Hall Heroult) Smelting,graphite,3.0,r_150,Petroleum Needle Coke Calcination,10,0.3,True
r_053,Industrial Glassmaking,sand,30.0,r_018,Sand Excavation,45,0.667,True
r_053,Industrial Glassmaking,limestone,9.0,r_019,Limestone Mining,25,0.36,True
r_055,uPVC Window Manufacturing,glass,32.0,r_053,Industrial Glassmaking,32,1.0,True
r_055,uPVC Window Manufacturing,pvc,11.0,r_175,PVC Polymerisation,16,0.688,True
r_057,Building Frame Manufacture,steel,18.0,r_003,Steelmaking,48,0.375,True
r_057,Building Frame Manufacture,windows,12.0,r_055,uPVC Window Manufacturing,18,0.667,True
r_057,Building Frame Manufacture,copper_pipe,6.0,r_026,Copper Pipe Hot Rolling,18,0.333,True
r_057,Building Frame Manufacture,electrical_components,4.0,r_126,Electrical Components Production,12,0.333,True
r_058,Solar Panel Manufacturing,metallurgical_silicon,20.0,r_044,Silicon Smelting,20,1.0,True
r_058,Solar Panel Manufacturing,electrical_components,3.0,r_126,Electrical Components Production,12,0.25,True
r_058,Solar Panel Manufacturing,alloy_ingots,4.0,r_132,Alloy Metal Smelting,30,0.133,True
r_058,Solar Panel Manufacturing,aluminium,2.0,r_050,Aluminium (Hall Heroult) Smelting,20,0.1,True
r_059,Wind Turbine Manufacturing,fibreglass,4.0,r_135,Fibreglass Production,6,0.667,True
r_059,Wind Turbine Manufacturing,refined_ree,2.0,r_041,Rare Earth Reduction,6,0.333,True
