research_node_id,category,prereq_1,prereq_2,prereq_3,prereq_othercategory,rank,Action,Object,Quantity,Unit,title,icon,description
research_mining_001,Extraction,,,,,I,Produce,coal,500,units,Improved Coal Mining,coal,Increases coal mining output by 15% permanently.
research_mining_002,Extraction,,,,,I,Produce,iron_ore,500,units,Beneficiated Iron Mining,iron,Increases iron ore mining output by 15% permanently.
research_mining_003,Extraction,,,,,I,Produce Any,limestone|sand|basic_salt,500,units,Reinforced Shaft Tunnels,survey,"Increases limestone, sand and salt mining output by 15% permanently."
research_mining_004,Extraction,,,,,I,Run Recipe,Copper Smelting,1,15 turns,Copper Froth Flotation,copper,Increases copper ingot output by 5% permanently.
research_mining_005,Extraction,research_mining_003,,,,II,Run Same Tile,Mine,4,15 turns,Automated Mine Dispatch,truck,"Increases coal, iron, copper, limestone, sand and salt mining output by a further 15% permanently."
research_petro_001,Chemistry,,,,,I,Run Recipe,Refining,1,10 turns,Fractional Distillation,oil,Increases Petrochemical Refinery output by 5% permanently.
research_petro_002,Chemistry,research_petro_001,,,,I,Produce,processed_oil,250,units,Catalytic Cracking,catalyst,Increases Petrochemical Refinery output by 5% permanently.
research_petro_003,Chemistry,research_petro_002,,,,II,Run,Petrochemical Refinery,12,turns,Polymer Feedstocks,poly,Increases Polymerisation Refinery output by 5% permanently.
research_petro_004,Chemistry,research_petro_001,,,,II,Produce,processed_oil,500,units,Solvent Recovery,solvent,Reduces Petrochemical Refinery maintenance by 10% for 20 turns.
research_petro_005,Chemistry,research_petro_003,,,,III,Run,Polymer Feedstocks,15,turns,Advanced Elastomers,rubber,Increases rubber output by 10% permanently.
research_metal_001,Metallurgy,,,,,I,Build,Furnace,3,units,Basic Blast Furnaces,furnace,Increases Furnace output by 5% permanently.
research_metal_002,Metallurgy,research_metal_001,,,,I,Produce,steel,250,units,Continuous Casting,cast,Increases steel output by 5% permanently.
research_metal_003,Metallurgy,research_metal_002,,,,II,Produce,steel,500,units,HIsarna,alloy,Unlocks new recipe: HIsarna Steel Making (44 Steel).
research_metal_004,Metallurgy,research_metal_003,,,,II,Produce,steel,800,units,Electric Arc Refining,eaf,Unlocks new recipe: Electric Arc Steelmaking (54 Steel).
research_metal_019,Metallurgy,,,,,II,Produce All,industrial_acids|copper_ingots,200|300,units,Flash Copper Smelting,copper,Unlocks new recipe: Flash Copper Smelting (50 Copper Ingots).
